SampleID,Specimen,Category,Site,Sr,d18O,d13Cap,d15N,d13Ccol,C14_cal_AD,dates,LAT,LONG
MG05,Human,Human,Mt. Guerra,0.70661,-1.32,-15.17,11.62,-18.49,666-827,826,28.46,-16.32
MG06,Human,Human,Mt. Guerra,0.70609,-0.22,-14.67,12.7,-18.69,656-773,763,28.46,-16.32
MG07,Human,Human,Mt. Guerra,0.70628,0.81,-14.14,,,,,28.46,-16.32
MG08,Human,Human,Mt. Guerra,0.70651,-0.07,-14.52,13.17,-20.14,,,28.46,-16.32
MG09,Human,Human,Mt. Guerra,0.70526,-0.29,-13.35,,,,,28.46,-16.32
MG10,Human,Human,Mt. Guerra,0.70585,-1.15,-14.59,10.05,-19.01,,,28.46,-16.32
MG11,Human,Human,Mt. Guerra,0.70577,0.31,-13.86,,,,,28.46,-16.32
HF01,Human,Human,Hoya Fria,0.70616,-0.06,-13.91,12.23,-18.6,,,28.43,-16.3
HF02,Human,Human,Hoya Fria,0.70587,-1.03,-13.57,,,,,28.43,-16.3
HF03,Human,Human,Hoya Fria,0.7063,0.34,-14.24,10.53,-19.8,,,28.43,-16.3
HF04,Human,Human,Hoya Fria,0.70648,-0.05,-15.18,11.48,-18.8,,,28.43,-16.3
HF05,Human,Human,Hoya Fria,0.70635,1.14,-14.72,11.01,-19.45,,,28.43,-16.3
HF06,Human,Human,Hoya Fria,0.70614,-1.24,-14.76,11.59,-18.99,,,28.43,-16.3
HF07,Human,Human,Hoya Fria,0.70642,-0.3,-14.37,12.04,-18.25,,,28.43,-16.3
HF08,Human,Human,Hoya Fria,0.70649,-1.3,-14.22,,,,,28.43,-16.3
HF09,Human,Human,Hoya Fria,0.70701,-2.26,-13.6,10.72,-19.64,,,28.43,-16.3
HF10,Human,Human,Hoya Fria,0.70613,0.09,-13.35,11.23,-20.11,,,28.43,-16.3
HF11,Human,Human,Hoya Fria,0.70681,-0.62,-15.84,10.65,-20.01,1307-1426,1424,28.43,-16.3
HF12,Human,Human,Hoya Fria,0.70622,0.14,-15.14,10.9,-19.93,1031-1198,1184,28.43,-16.3
HF13,Human,Human,Hoya Fria,0.70691,-0.3,-15.64,11.2,-20.25,690-888,889,28.43,-16.3
HF14,Human,Human,Hoya Fria,0.70649,-1.66,-15.81,10.92,-19.65,,,28.43,-16.3
HF15,Human,Human,Hoya Fria,0.70681,-0.73,-15.61,11.1,-18.83,1031-1198,1184,28.43,-16.3
HF16,Human,Human,Hoya Fria,0.70675,-0.59,-15.78,10.63,-19.89,,,28.43,-16.3
HF17,Human,Human,Hoya Fria,0.70705,0.18,-15.55,9.99,-19.9,995-1154,1118,28.43,-16.3
HF18,Human,Human,Hoya Fria,0.70697,-1.04,-14.65,10.26,-19.9,1023-1158,1147,28.43,-16.3
HF19,Human,Human,Hoya Fria,0.70593,0.38,-15.39,10.03,-19.42,895-1038,1080,28.43,-16.3
HF20,Human,Human,Hoya Fria,0.70756,-0.25,-14.49,11.36,-19.34,1028-1165,1174,28.43,-16.3
TF015,Ovicaprid,Fau,Mt. Guerra,0.70556,0.8,,,,,,28.4781,-16.285
BS01m1,Human,Human,Bco. Santos,0.70591,-2.71,-13.75,,,,,28.46,-16.27
BS01m2,Human,Human,Bco. Santos,0.70622,0.54,-14.6,,,,,28.46,-16.27
BS02,Human,Human,Bco. Santos,0.70623,-1.22,-13.47,10.75,-19.99,,,28.46,-16.27
BS03,Human,Human,Bco. Santos,0.70577,-0.34,-14.53,10.59,-19.4,,,28.46,-16.27
BS04,Human,Human,Bco. Santos,0.70646,0.48,-14.07,10.28,-19.56,,,28.46,-16.27
TF003,Rabbit,Fau,Bco Igueste,0.7046,,,,,,,28.545,-16.1693
TF008,Rabbit,Fau,Roque Antquera,0.70774,,,,,,,28.5355,-16.1287
GC087,Plant,Flora,GC-200,0.70673,,,,,,,27.9944,-15.8042
GC088,T. sil,Fau,GC-200,0.70611,1.26,,,,,,27.9944,-15.8042
GC106,Ovicaprid,Fau,Los Gatos,0.70659,4.52,,,,,,27.8183,-15.7606
GC083,Plant,Flora,Bco. de Mogan,0.70631,,,,,,,27.8386,-15.7481
GC086,T. sil,Fau,Ctra GC200,0.7063,,,,,,,28.06,-15.7294
GC084,Plant,Flora,Avda Azulejos ,0.70681,,,,,,,27.9222,-15.7258
GC098,Water,Water,El Charco Azul,0.70375,,,,,,,28.0458,-15.7244
GC074,Ovicaprid,Fau,GC-505,0.70673,0.58,,,,,,27.8906,-15.6761
GC109,Ovicaprid,Fau,Cantera Molinos,0.70532,3.13,,,,,,28.08,-15.6719
GC010,Fish,Fau,Presa de las Ninhas,0.70369,,,,,,,27.8942,-15.6689
GC075,Plant,Flora,Presa de Soria,0.70558,,,,,,,27.9058,-15.6672
GC037,Rabbit,Fau,GC-2,0.7056,,,,,,,28.1244,-15.6655
GC080,Plant,Flora,El Sao,0.70438,,,,,,,27.8228,-15.6653
GC081,Plant,Flora,El Sao,0.70431,,,,,,,27.8228,-15.6653
GC078,Plant,Flora,Bco Arguineguin,0.70428,,,,,,,27.7678,-15.665
GC107,Ovicaprid,Fau,El Llanillo,0.70777,1.6,,,,,,27.757,-15.6542
GC006,Ovicaprid,Fau,El Hospital,0.70502,-4.01,,,,,,28.1433,-15.65
GC104,Ovicaprid,Fau,El Hospital,0.70643,0.69,,,,,,28.1433,-15.65
GC065,Plant,Flora,Palmitos Park,0.7082,,,,,,,27.8183,-15.6211
GC070,T. sil,Fau,Palmitos Park,0.7083,-1.1,,,,,,27.8183,-15.6211
GC063,Plant,Flora,El Salobre,0.70589,,,,,,,27.7803,-15.6131
GC023,Ovicaprid,Fau,Cenobio Valeron,0.70634,-2.24,,,,,,28.1389,-15.6044
GC072,Ovicaprid,Fau,Cenobio Valeron,0.70681,-1.19,,,,,,28.1389,-15.6044
GC014,Plant,Flora,Cenobio Valeron,0.70439,,,,,,,28.1392,-15.6036
GC105,Ovicaprid,Fau,Punta Mujeres,0.70789,4.76,,,,,,27.7374,-15.6027
GC029,T. sil,Fau,Mirador de Tejeda,0.7036,0.17,,,,,,28.0077,-15.5993
GC038,Plant,Flora,Bco de los Tilos,0.70456,2.18,,,,,,28.0917,-15.595
GC041,T. sil,Fau,Bco de los Tilos,0.70456,1.33,,,,,,28.0917,-15.595
MP01,Human,Human,Maspalomas,0.70627,-1.73,-12.69,,,,,27.7705,-15.5941
MP02,Human,Human,Maspalomas,0.70568,-2.61,-12.91,,,,,27.7705,-15.5941
MP03,Human,Human,Maspalomas,0.70491,-2.14,-13.41,,,,,27.7705,-15.5941
MP04,Human,Human,Maspalomas,706,-1.91,-13.1,,,,,27.7705,-15.5941
MP05,Human,Human,Maspalomas,0.70569,-2.49,-14.04,,,,,27.7705,-15.5941
MP06,Human,Human,Maspalomas,0.70557,-1.48,-12.63,,,,,27.7705,-15.5941
MP07,Human,Human,Maspalomas,0.70543,-1.65,-13.29,,,,,27.7705,-15.5941
MP08,Human,Human,Maspalomas,0.70652,-2.49,-12.61,,,,,27.7705,-15.5941
MP09,Human,Human,Maspalomas,0.70649,-1.06,-13.45,,,,,27.7705,-15.5941
MP10,Human,Human,Maspalomas,0.70704,-1.44,-12.96,,,,,27.7705,-15.5941
MP11,Human,Human,Maspalomas,0.70667,-1.48,-11.33,11.84,-18.64,,,27.7705,-15.5941
MP12,Human,Human,Maspalomas,0.70654,-1.42,-9.25,10.83,-18.28,,,27.7705,-15.5941
MP13,Human,Human,Maspalomas,0.70712,-1.25,-13.63,10.56,-19.23,,,27.7705,-15.5941
MP14,Human,Human,Maspalomas,0.70714,-1.53,-12.57,12.7,-18.3,,,27.7705,-15.5941
